species,contrast,na_mode,n_samples,n_genes_tested,n_DEG,jaccard_vs_fill0,n_DEG_fill0_only,n_DEG_mode_only
human,2.5mM_vs_8mM,fill0,10,20803,262,1,0,0
human,2.5mM_vs_8mM,drop_mixed,10,20803,262,1,0,0
human,2.5mM_vs_8mM,drop_any,10,20803,262,1,0,0
human,30mM_vs_8mM,fill0,10,20713,5,1,0,0
human,30mM_vs_8mM,drop_mixed,10,20713,5,1,0,0
human,30mM_vs_8mM,drop_any,10,20713,5,1,0,0
rat,2.5mM_vs_8mM,fill0,8,12635,164,1,0,0
rat,2.5mM_vs_8mM,drop_mixed,8,12635,164,1,0,0
rat,2.5mM_vs_8mM,drop_any,8,12635,164,1,0,0
rat,30mM_vs_8mM,fill0,8,12607,364,1,0,0
rat,30mM_vs_8mM,drop_mixed,8,12607,364,1,0,0
rat,30mM_vs_8mM,drop_any,8,12607,364,1,0,0
squirrel,2.5mM_vs_8mM,fill0,10,12465,0,1,0,0
squirrel,2.5mM_vs_8mM,drop_mixed,10,12465,0,NA,0,0
squirrel,2.5mM_vs_8mM,drop_any,10,12465,0,NA,0,0
squirrel,30mM_vs_8mM,fill0,10,12658,101,1,0,0
squirrel,30mM_vs_8mM,drop_mixed,10,12658,101,1,0,0
squirrel,30mM_vs_8mM,drop_any,10,12658,101,1,0,0
little_brown_bat,2.5mM_vs_8mM,fill0,10,11292,0,1,0,0
little_brown_bat,2.5mM_vs_8mM,drop_mixed,10,11292,0,NA,0,0
little_brown_bat,2.5mM_vs_8mM,drop_any,10,11292,0,NA,0,0
little_brown_bat,30mM_vs_8mM,fill0,10,11292,0,1,0,0
little_brown_bat,30mM_vs_8mM,drop_mixed,10,11292,0,NA,0,0
little_brown_bat,30mM_vs_8mM,drop_any,10,11292,0,NA,0,0
rousette,2.5mM_vs_8mM,fill0,10,12905,747,1,0,0
rousette,2.5mM_vs_8mM,drop_mixed,10,12905,747,1,0,0
rousette,2.5mM_vs_8mM,drop_any,10,12905,747,1,0,0
rousette,30mM_vs_8mM,fill0,10,12914,1085,1,0,0
rousette,30mM_vs_8mM,drop_mixed,10,12914,1085,1,0,0
rousette,30mM_vs_8mM,drop_any,10,12914,1085,1,0,0
